Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,191,47,519305.867,214,214,4316,214,03/21/2024 10:13:54,03/15/2024 10:00:00,4079.7599,-1750.0,2098.007,104.040,7290.041,426.866,2,0,0,0,0,0,54.3,0,25.11,25.76,,,,
201,1,LAB01,001,1,,191,47,519377.209,285,285,4316,285,03/21/2024 10:15:05,03/15/2024 10:00:00,4056.9514,-1750.0,2098.007,138.719,7290.041,567.560,2,0,0,0,0,0,54.3,0,24.92,25.95,,,,
201,1,LAB01,001,1,,191,47,519448.550,357,357,4316,357,03/21/2024 10:16:17,03/15/2024 10:00:00,4034.1338,-1750.0,2098.007,173.399,7290.041,707.463,2,0,0,0,0,0,54.3,0,24.79,25.84,,,,
201,1,LAB01,001,1,,191,47,519519.892,428,428,4316,428,03/21/2024 10:17:28,03/15/2024 10:00:00,4011.4105,-1750.0,2098.007,208.079,7290.041,846.578,2,0,0,0,0,0,54.3,0,25.10,26.52,,,,
201,1,LAB01,001,1,,191,47,519591.233,499,499,4316,499,03/21/2024 10:18:39,03/15/2024 10:00:00,3989.2670,-1750.0,2098.007,242.759,7290.041,984.926,2,0,0,0,0,0,54.3,0,24.94,26.20,,,,
201,1,LAB01,001,1,,191,47,519662.574,571,571,4316,571,03/21/2024 10:19:51,03/15/2024 10:00:00,3965.8354,-1750.0,2098.007,277.439,7290.041,1122.460,2,0,0,0,0,0,54.3,0,25.01,26.42,,,,
201,1,LAB01,001,1,,191,47,519733.916,642,642,4316,642,03/21/2024 10:21:02,03/15/2024 10:00:00,3941.8537,-1750.0,2098.007,312.119,7290.041,1259.163,2,0,0,0,0,0,54.3,0,24.96,26.53,,,,
201,1,LAB01,001,1,,191,47,519805.257,713,713,4316,713,03/21/2024 10:22:13,03/15/2024 10:00:00,3918.6078,-1750.0,2098.007,346.799,7290.041,1395.060,2,0,0,0,0,0,54.3,0,24.93,26.35,,,,
201,1,LAB01,001,1,,191,47,519876.599,785,785,4316,785,03/21/2024 10:23:25,03/15/2024 10:00:00,3894.8442,-1750.0,2098.007,381.478,7290.041,1530.132,30,0,0,0,0,0,54.3,0,25.21,26.66,,,,
201,1,LAB01,001,1,,191,47,519947.940,856,856,4316,856,03/21/2024 10:24:36,03/15/2024 10:00:00,3872.9396,-1750.0,2098.007,416.158,7290.041,1664.445,2,0,0,0,0,0,54.3,0,25.14,26.86,,,,
201,1,LAB01,001,1,,191,47,520019.281,927,927,4316,927,03/21/2024 10:25:47,03/15/2024 10:00:00,3849.1663,-1750.0,2098.007,450.838,7290.041,1797.934,2,0,0,0,0,0,54.3,0,25.00,27.10,,,,
201,1,LAB01,001,1,,191,47,520090.623,999,999,4316,999,03/21/2024 10:26:59,03/15/2024 10:00:00,3826.7742,-1750.0,2098.007,485.518,7290.041,1930.646,2,0,0,0,0,0,54.3,0,24.97,27.19,,,,
201,1,LAB01,001,1,,191,47,520161.964,1070,1070,4316,1070,03/21/2024 10:28:10,03/15/2024 10:00:00,3801.3440,-1750.0,2098.007,520.198,7290.041,2062.476,2,0,0,0,0,0,54.3,0,24.99,26.97,,,,
201,1,LAB01,001,1,,191,47,520233.306,1141,1141,4316,1141,03/21/2024 10:29:21,03/15/2024 10:00:00,3777.6624,-1750.0,2098.007,554.878,7290.041,2193.485,2,0,0,0,0,0,54.3,0,24.87,27.12,,,,
201,1,LAB01,001,1,,191,47,520304.647,1213,1213,4316,1213,03/21/2024 10:30:33,03/15/2024 10:00:00,3753.7846,-1750.0,2098.007,589.558,7290.041,2323.666,2,0,0,0,0,0,54.3,0,25.07,27.51,,,,
201,1,LAB01,001,1,,191,47,520375.989,1284,1284,4316,1284,03/21/2024 10:31:44,03/15/2024 10:00:00,3730.5310,-1750.0,2098.007,624.237,7290.041,2453.040,2,0,0,0,0,0,54.3,0,25.09,27.37,,,,
201,1,LAB01,001,1,,191,47,520447.330,1355,1355,4316,1355,03/21/2024 10:32:55,03/15/2024 10:00:00,3706.1169,-1750.0,2098.007,658.917,7290.041,2581.567,2,0,0,0,0,0,54.3,0,25.08,27.48,,,,
201,1,LAB01,001,1,,191,47,520518.671,1427,1427,4316,1427,03/21/2024 10:34:07,03/15/2024 10:00:00,3683.9843,-1750.0,2098.007,693.597,7290.041,2709.327,2,0,0,0,0,0,54.3,0,25.05,27.57,,,,
201,1,LAB01,001,1,,191,47,520590.013,1498,1498,4316,1498,03/21/2024 10:35:18,03/15/2024 10:00:00,3658.9499,-1750.0,2098.007,728.277,7290.041,2836.219,30,0,0,0,0,0,54.3,0,24.89,27.32,,,,
201,1,LAB01,001,1,,191,47,520661.354,1570,1570,4316,1570,03/21/2024 10:36:30,03/15/2024 10:00:00,3634.3291,-1750.0,2098.007,762.957,7290.041,2962.257,2,0,0,0,0,0,54.3,0,24.89,27.73,,,,
201,1,LAB01,001,1,,191,47,520732.696,1641,1641,4316,1641,03/21/2024 10:37:41,03/15/2024 10:00:00,3612.2008,-1750.0,2098.007,797.637,7290.041,3087.528,2,0,0,0,0,0,54.3,0,25.23,27.90,,,,
201,1,LAB01,001,1,,191,47,520804.037,1712,1712,4316,1712,03/21/2024 10:38:52,03/15/2024 10:00:00,3587.4270,-1750.0,2098.007,832.317,7290.041,3211.939,2,0,0,0,0,0,54.3,0,25.01,27.92,,,,
201,1,LAB01,001,1,,191,47,520875.378,1784,1784,4316,1784,03/21/2024 10:40:04,03/15/2024 10:00:00,3564.7063,-1750.0,2098.007,866.996,7290.041,3335.563,2,0,0,0,0,0,54.3,0,24.95,27.83,,,,
201,1,LAB01,001,1,,191,47,520946.720,1855,1855,4316,1855,03/21/2024 10:41:15,03/15/2024 10:00:00,3539.4905,-1750.0,2098.007,901.676,7290.041,3458.312,2,0,0,0,0,0,54.3,0,24.96,27.93,,,,
201,1,LAB01,001,1,,191,47,521018.061,1926,1926,4316,1926,03/21/2024 10:42:26,03/15/2024 10:00:00,3514.4863,-1750.0,2098.007,936.356,7290.041,3580.194,2,0,0,0,0,0,54.3,0,25.10,27.99,,,,
201,1,LAB01,001,1,,191,47,521089.403,1998,1998,4316,1998,03/21/2024 10:43:38,03/15/2024 10:00:00,3492.1617,-1750.0,2098.007,971.036,7290.041,3701.301,2,0,0,0,0,0,54.3,0,25.02,27.89,,,,
201,1,LAB01,001,1,,191,47,521160.744,2069,2069,4316,2069,03/21/2024 10:44:49,03/15/2024 10:00:00,3467.2084,-1750.0,2098.007,1005.716,7290.041,3821.544,2,0,0,0,0,0,54.3,0,24.89,27.93,,,,
201,1,LAB01,001,1,,191,47,521232.086,2140,2140,4316,2140,03/21/2024 10:46:00,03/15/2024 10:00:00,3443.4652,-1750.0,2098.007,1040.396,7290.041,3940.963,2,0,0,0,0,0,54.3,0,24.99,28.02,,,,
201,1,LAB01,001,1,,191,47,521303.427,2212,2212,4316,2212,03/21/2024 10:47:12,03/15/2024 10:00:00,3421.2616,-1750.0,2098.007,1075.076,7290.041,4059.611,30,0,0,0,0,0,54.3,0,24.89,27.87,,,,
201,1,LAB01,001,1,,191,47,521374.768,2283,2283,4316,2283,03/21/2024 10:48:23,03/15/2024 10:00:00,3394.7162,-1750.0,2098.007,1109.755,7290.041,4177.340,2,0,0,0,0,0,54.3,0,25.05,28.12,,,,
201,1,LAB01,001,1,,191,47,521446.110,2354,2354,4316,2354,03/21/2024 10:49:34,03/15/2024 10:00:00,3371.0723,-1750.0,2098.007,1144.435,7290.041,4294.248,2,0,0,0,0,0,54.3,0,24.84,27.66,,,,
201,1,LAB01,001,1,,191,47,521517.451,2426,2426,4316,2426,03/21/2024 10:50:46,03/15/2024 10:00:00,3347.2054,-1750.0,2098.007,1179.115,7290.041,4410.329,2,0,0,0,0,0,54.3,0,24.84,27.83,,,,
201,1,LAB01,001,1,,191,47,521588.793,2497,2497,4316,2497,03/21/2024 10:51:57,03/15/2024 10:00:00,3322.8318,-1750.0,2098.007,1213.795,7290.041,4525.564,2,0,0,0,0,0,54.3,0,25.08,28.09,,,,
201,1,LAB01,001,1,,191,47,521660.134,2568,2568,4316,2568,03/21/2024 10:53:08,03/15/2024 10:00:00,3296.8450,-1750.0,2098.007,1248.475,7290.041,4639.898,2,0,0,0,0,0,54.3,0,24.87,27.42,,,,
201,1,LAB01,001,1,,191,47,521731.475,2640,2640,4316,2640,03/21/2024 10:54:20,03/15/2024 10:00:00,3274.3018,-1750.0,2098.007,1283.155,7290.041,4753.450,2,0,0,0,0,0,54.3,0,25.03,27.79,,,,
201,1,LAB01,001,1,,191,47,521802.817,2711,2711,4316,2711,03/21/2024 10:55:31,03/15/2024 10:00:00,3249.6129,-1750.0,2098.007,1317.835,7290.041,4866.146,2,0,0,0,0,0,54.3,0,24.86,27.61,,,,
201,1,LAB01,001,1,,191,47,521874.158,2782,2782,4316,2782,03/21/2024 10:56:42,03/15/2024 10:00:00,3224.2232,-1750.0,2098.007,1352.514,7290.041,4977.962,2,0,0,0,0,0,54.3,0,24.99,27.72,,,,
201,1,LAB01,001,1,,191,47,521945.500,2854,2854,4316,2854,03/21/2024 10:57:54,03/15/2024 10:00:00,3200.3753,-1750.0,2098.007,1387.194,7290.041,5088.951,2,0,0,0,0,0,54.3,0,24.90,27.35,,,,
201,1,LAB01,001,1,,191,47,522016.841,2925,2925,4316,2925,03/21/2024 10:59:05,03/15/2024 10:00:00,3176.0294,-1750.0,2098.007,1421.874,7290.041,5199.095,30,0,0,0,0,0,54.3,0,25.02,27.32,,,,
201,1,LAB01,001,1,,191,47,522088.183,2996,2996,4316,2996,03/21/2024 11:00:16,03/15/2024 10:00:00,3150.4358,-1750.0,2098.007,1456.554,7290.041,5308.352,2,0,0,0,0,0,54.3,0,24.98,27.42,,,,
201,1,LAB01,001,1,,191,47,522159.524,3068,3068,4316,3068,03/21/2024 11:01:28,03/15/2024 10:00:00,3126.2281,-1750.0,2098.007,1491.234,7290.041,5416.769,2,0,0,0,0,0,54.3,0,24.96,27.44,,,,
201,1,LAB01,001,1,,191,47,522230.865,3139,3139,4316,3139,03/21/2024 11:02:39,03/15/2024 10:00:00,3101.0749,-1750.0,2098.007,1525.914,7290.041,5524.314,2,0,0,0,0,0,54.3,0,25.08,27.20,,,,
201,1,LAB01,001,1,,191,47,522302.207,3210,3210,4316,3210,03/21/2024 11:03:50,03/15/2024 10:00:00,3076.1293,-1750.0,2098.007,1560.594,7290.041,5630.993,2,0,0,0,0,0,54.3,0,25.06,27.16,,,,
201,1,LAB01,001,1,,191,47,522373.548,3282,3282,4316,3282,03/21/2024 11:05:02,03/15/2024 10:00:00,3050.3690,-1750.0,2098.007,1595.273,7290.041,5736.780,2,0,0,0,0,0,54.3,0,24.97,26.95,,,,
201,1,LAB01,001,1,,191,47,522444.890,3353,3353,4316,3353,03/21/2024 11:06:13,03/15/2024 10:00:00,3027.6167,-1750.0,2098.007,1629.953,7290.041,5841.777,2,0,0,0,0,0,54.3,0,24.91,26.52,,,,
201,1,LAB01,001,1,,191,47,522516.231,3424,3424,4316,3424,03/21/2024 11:07:24,03/15/2024 10:00:00,3001.4872,-1750.0,2098.007,1664.633,7290.041,5945.868,2,0,0,0,0,0,54.3,0,25.00,26.98,,,,
201,1,LAB01,001,1,,191,47,522587.572,3496,3496,4316,3496,03/21/2024 11:08:36,03/15/2024 10:00:00,2977.1334,-1750.0,2098.007,1699.313,7290.041,6049.115,2,0,0,0,0,0,54.3,0,24.95,26.72,,,,
201,1,LAB01,001,1,,191,47,522658.914,3567,3567,4316,3567,03/21/2024 11:09:47,03/15/2024 10:00:00,2953.0248,-1750.0,2098.007,1733.993,7290.041,6151.525,2,0,0,0,0,0,54.3,0,25.08,26.87,,,,
201,1,LAB01,001,1,,191,47,522730.255,3638,3638,4316,3638,03/21/2024 11:10:58,03/15/2024 10:00:00,2926.9529,-1750.0,2098.007,1768.673,7290.041,6253.031,30,0,0,0,0,0,54.3,0,25.05,26.68,,,,
201,1,LAB01,001,1,,191,47,522801.597,3710,3710,4316,3710,03/21/2024 11:12:10,03/15/2024 10:00:00,2902.0055,-1750.0,2098.007,1803.353,7290.041,6353.673,2,0,0,0,0,0,54.3,0,25.02,26.43,,,,
201,1,LAB01,001,1,,191,47,522872.938,3781,3781,4316,3781,03/21/2024 11:13:21,03/15/2024 10:00:00,2878.5293,-1750.0,2098.007,1838.032,7290.041,6453.499,2,0,0,0,0,0,54.3,0,24.90,26.07,,,,
201,1,LAB01,001,1,,191,47,522944.280,3852,3852,4316,3852,03/21/2024 11:14:32,03/15/2024 10:00:00,2851.7961,-1750.0,2098.007,1872.712,7290.041,6552.399,2,0,0,0,0,0,54.3,0,24.81,26.10,,,,
201,1,LAB01,001,1,,191,47,523015.621,3924,3924,4316,3924,03/21/2024 11:15:44,03/15/2024 10:00:00,2825.2177,-1750.0,2098.007,1907.392,7290.041,6650.378,2,0,0,0,0,0,54.3,0,24.98,26.31,,,,
201,1,LAB01,001,1,,191,47,523086.962,3995,3995,4316,3995,03/21/2024 11:16:55,03/15/2024 10:00:00,2801.0711,-1750.0,2098.007,1942.072,7290.041,6747.518,2,0,0,0,0,0,54.3,0,24.96,26.26,,,,
201,1,LAB01,001,1,,191,47,523158.304,4066,4066,4316,4066,03/21/2024 11:18:06,03/15/2024 10:00:00,2776.0715,-1750.0,2098.007,1976.752,7290.041,6843.792,2,0,0,0,0,0,54.3,0,24.83,25.81,,,,
201,1,LAB01,001,1,,191,47,523229.645,4138,4138,4316,4138,03/21/2024 11:19:18,03/15/2024 10:00:00,2751.3434,-1750.0,2098.007,2011.432,7290.041,6939.208,2,0,0,0,0,0,54.3,0,25.06,25.88,,,,
201,1,LAB01,001,1,,191,47,523300.987,4209,4209,4316,4209,03/21/2024 11:20:29,03/15/2024 10:00:00,2725.8685,-1750.0,2098.007,2046.112,7290.041,7033.741,2,0,0,0,0,0,54.3,0,25.12,25.69,,,,
201,1,LAB01,001,1,,191,47,523372.328,4280,4280,4316,4280,03/21/2024 11:21:40,03/15/2024 10:00:00,2700.0000,-1750.0,2098.007,2080.791,7290.041,7127.377,2,0,0,0,0,0,54.3,0,25.02,25.54,,,,
201,1,LAB01,001,1,,192,48,523392.328,0,0,0,0,03/21/2024 11:22:52,03/15/2024 10:00:00,2901.8113,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,54.5,0,25.08,25.08,,,,
201,1,LAB01,001,1,,192,48,523412.328,0,20,0,0,03/21/2024 11:23:12,03/15/2024 10:00:00,2898.9062,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,54.5,0,25.13,25.13,,,,
201,1,LAB01,001,1,,192,48,523432.328,0,40,0,0,03/21/2024 11:23:32,03/15/2024 10:00:00,2904.8670,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,54.5,0,24.96,24.96,,,,
201,1,LAB01,001,1,,192,48,523452.328,0,60,0,0,03/21/2024 11:23:52,03/15/2024 10:00:00,2906.5246,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,54.5,0,25.11,25.11,,,,
201,1,LAB01,001,1,,192,48,523472.328,0,80,0,0,03/21/2024 11:24:12,03/15/2024 10:00:00,2898.7819,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,54.5,0,24.91,24.91,,,,
201,1,LAB01,001,1,,193,48,523543.555,71,71,71,0,03/21/2024 11:24:32,03/15/2024 10:00:00,2772.6172,1750.0,34.624,0.000,96.000,0.000,30,0,0,0,0,0,54.5,0,25.03,25.46,,,,
201,1,LAB01,001,1,,193,48,523614.782,142,142,142,0,03/21/2024 11:25:43,03/15/2024 10:00:00,2796.8067,1750.0,69.248,0.000,192.837,0.000,2,0,0,0,0,0,54.5,0,24.92,25.60,,,,
201,1,LAB01,001,1,,193,48,523686.009,214,214,214,0,03/21/2024 11:26:54,03/15/2024 10:00:00,2818.5166,1750.0,103.873,0.000,290.426,0.000,2,0,0,0,0,0,54.5,0,24.79,25.27,,,,
201,1,LAB01,001,1,,193,48,523757.236,285,285,285,0,03/21/2024 11:28:06,03/15/2024 10:00:00,2842.0763,1750.0,138.497,0.000,388.830,0.000,2,0,0,0,0,0,54.5,0,25.15,26.10,,,,
201,1,LAB01,001,1,,193,48,523828.462,356,356,356,0,03/21/2024 11:29:17,03/15/2024 10:00:00,2865.6456,1750.0,173.121,0.000,488.051,0.000,2,0,0,0,0,0,54.5,0,24.98,25.92,,,,
201,1,LAB01,001,1,,193,48,523899.689,427,427,427,0,03/21/2024 11:30:28,03/15/2024 10:00:00,2888.2437,1750.0,207.745,0.000,588.054,0.000,2,0,0,0,0,0,54.5,0,24.99,26.24,,,,
201,1,LAB01,001,1,,193,48,523970.916,499,499,499,0,03/21/2024 11:31:39,03/15/2024 10:00:00,2911.0840,1750.0,242.369,0.000,688.848,0.000,2,0,0,0,0,0,54.5,0,25.15,26.45,,,,
201,1,LAB01,001,1,,193,48,524042.143,570,570,570,0,03/21/2024 11:32:50,03/15/2024 10:00:00,2934.9149,1750.0,276.993,0.000,790.467,0.000,2,0,0,0,0,0,54.5,0,25.01,26.75,,,,
201,1,LAB01,001,1,,193,48,524113.370,641,641,641,0,03/21/2024 11:34:02,03/15/2024 10:00:00,2958.2081,1750.0,311.618,0.000,892.892,0.000,2,0,0,0,0,0,54.5,0,25.00,26.32,,,,
201,1,LAB01,001,1,,193,48,524184.597,712,712,712,0,03/21/2024 11:35:13,03/15/2024 10:00:00,2981.7219,1750.0,346.242,0.000,996.132,0.000,2,0,0,0,0,0,54.5,0,25.09,26.74,,,,
201,1,LAB01,001,1,,193,48,524255.824,783,783,783,0,03/21/2024 11:36:24,03/15/2024 10:00:00,3004.7314,1750.0,380.866,0.000,1100.168,0.000,30,0,0,0,0,0,54.5,0,24.94,26.59,,,,
201,1,LAB01,001,1,,193,48,524327.051,855,855,855,0,03/21/2024 11:37:35,03/15/2024 10:00:00,3028.4203,1750.0,415.490,0.000,1205.025,0.000,2,0,0,0,0,0,54.5,0,25.07,26.82,,,,
201,1,LAB01,001,1,,193,48,524398.277,926,926,926,0,03/21/2024 11:38:47,03/15/2024 10:00:00,3051.4796,1750.0,450.114,0.000,1310.680,0.000,2,0,0,0,0,0,54.5,0,24.94,26.57,,,,
201,1,LAB01,001,1,,193,48,524469.504,997,997,997,0,03/21/2024 11:39:58,03/15/2024 10:00:00,3074.6042,1750.0,484.738,0.000,1417.135,0.000,2,0,0,0,0,0,54.5,0,24.98,26.82,,,,
201,1,LAB01,001,1,,193,48,524540.731,1068,1068,1068,0,03/21/2024 11:41:09,03/15/2024 10:00:00,3099.2806,1750.0,519.363,0.000,1524.445,0.000,2,0,0,0,0,0,54.5,0,25.08,27.49,,,,
201,1,LAB01,001,1,,193,48,524611.958,1140,1140,1140,0,03/21/2024 11:42:20,03/15/2024 10:00:00,3122.1427,1750.0,553.987,0.000,1632.547,0.000,2,0,0,0,0,0,54.5,0,24.96,27.06,,,,
201,1,LAB01,001,1,,193,48,524683.185,1211,1211,1211,0,03/21/2024 11:43:31,03/15/2024 10:00:00,3146.0027,1750.0,588.611,0.000,1741.475,0.000,2,0,0,0,0,0,54.5,0,24.83,27.31,,,,
201,1,LAB01,001,1,,193,48,524754.412,1282,1282,1282,0,03/21/2024 11:44:43,03/15/2024 10:00:00,3169.4117,1750.0,623.235,0.000,1851.213,0.000,2,0,0,0,0,0,54.5,0,24.77,27.27,,,,
201,1,LAB01,001,1,,193,48,524825.639,1353,1353,1353,0,03/21/2024 11:45:54,03/15/2024 10:00:00,3192.6251,1750.0,657.859,0.000,1961.755,0.000,2,0,0,0,0,0,54.5,0,24.80,27.22,,,,
201,1,LAB01,001,1,,193,48,524896.866,1425,1425,1425,0,03/21/2024 11:47:05,03/15/2024 10:00:00,3217.4295,1750.0,692.484,0.000,2073.156,0.000,2,0,0,0,0,0,54.5,0,24.92,27.70,,,,
201,1,LAB01,001,1,,193,48,524968.092,1496,1496,1496,0,03/21/2024 11:48:16,03/15/2024 10:00:00,3239.7484,1750.0,727.108,0.000,2185.329,0.000,30,0,0,0,0,0,54.5,0,25.05,27.65,,,,
201,1,LAB01,001,1,,193,48,525039.319,1567,1567,1567,0,03/21/2024 11:49:28,03/15/2024 10:00:00,3264.6195,1750.0,761.732,0.000,2298.364,0.000,2,0,0,0,0,0,54.5,0,24.91,27.63,,,,
201,1,LAB01,001,1,,193,48,525110.546,1638,1638,1638,0,03/21/2024 11:50:39,03/15/2024 10:00:00,3287.1920,1750.0,796.356,0.000,2412.181,0.000,2,0,0,0,0,0,54.5,0,24.86,27.41,,,,
201,1,LAB01,001,1,,193,48,525181.773,1709,1709,1709,0,03/21/2024 11:51:50,03/15/2024 10:00:00,3313.7502,1750.0,830.980,0.000,2526.916,0.000,2,0,0,0,0,0,54.5,0,24.95,27.78,,,,
201,1,LAB01,001,1,,193,48,525253.000,1781,1781,1781,0,03/21/2024 11:53:01,03/15/2024 10:00:00,3334.5900,1750.0,865.604,0.000,2642.374,0.000,2,0,0,0,0,0,54.5,0,25.05,28.07,,,,
201,1,LAB01,001,1,,193,48,525324.227,1852,1852,1852,0,03/21/2024 11:54:13,03/15/2024 10:00:00,3359.9425,1750.0,900.229,0.000,2758.709,0.000,2,0,0,0,0,0,54.5,0,25.13,28.11,,,,
201,1,LAB01,001,1,,193,48,525395.454,1923,1923,1923,0,03/21/2024 11:55:24,03/15/2024 10:00:00,3383.8586,1750.0,934.853,0.000,2875.872,0.000,2,0,0,0,0,0,54.5,0,25.06,27.98,,,,
201,1,LAB01,001,1,,193,48,525466.681,1994,1994,1994,0,03/21/2024 11:56:35,03/15/2024 10:00:00,3407.2677,1750.0,969.477,0.000,2993.846,0.000,2,0,0,0,0,0,54.5,0,24.85,27.84,,,,
201,1,LAB01,001,1,,193,48,525537.908,2066,2066,2066,0,03/21/2024 11:57:46,03/15/2024 10:00:00,3432.6401,1750.0,1004.101,0.000,3112.699,0.000,2,0,0,0,0,0,54.5,0,24.96,27.89,,,,
201,1,LAB01,001,1,,193,48,525609.134,2137,2137,2137,0,03/21/2024 11:58:57,03/15/2024 10:00:00,3455.3122,1750.0,1038.725,0.000,3232.336,0.000,2,0,0,0,0,0,54.5,0,24.97,28.09,,,,
201,1,LAB01,001,1,,193,48,525680.361,2208,2208,2208,0,03/21/2024 12:00:09,03/15/2024 10:00:00,3480.2809,1750.0,1073.349,0.000,3352.838,0.000,30,0,0,0,0,0,54.5,0,25.06,28.27,,,,
201,1,LAB01,001,1,,193,48,525751.588,2279,2279,2279,0,03/21/2024 12:01:20,03/15/2024 10:00:00,3504.6006,1750.0,1107.974,0.000,3474.182,0.000,2,0,0,0,0,0,54.5,0,24.96,27.70,,,,
201,1,LAB01,001,1,,193,48,525822.815,2350,2350,2350,0,03/21/2024 12:02:31,03/15/2024 10:00:00,3529.0877,1750.0,1142.598,0.000,3596.373,0.000,2,0,0,0,0,0,54.5,0,25.02,27.62,,,,
201,1,LAB01,001,1,,193,48,525894.042,2422,2422,2422,0,03/21/2024 12:03:42,03/15/2024 10:00:00,3555.1746,1750.0,1177.222,0.000,3719.468,0.000,2,0,0,0,0,0,54.5,0,25.03,27.82,,,,
201,1,LAB01,001,1,,193,48,525965.269,2493,2493,2493,0,03/21/2024 12:04:54,03/15/2024 10:00:00,3577.6517,1750.0,1211.846,0.000,3843.342,0.000,2,0,0,0,0,0,54.5,0,24.94,27.72,,,,
201,1,LAB01,001,1,,193,48,526036.496,2564,2564,2564,0,03/21/2024 12:06:05,03/15/2024 10:00:00,3601.4265,1750.0,1246.470,0.000,3968.038,0.000,2,0,0,0,0,0,54.5,0,24.93,27.79,,,,
201,1,LAB01,001,1,,193,48,526107.723,2635,2635,2635,0,03/21/2024 12:07:16,03/15/2024 10:00:00,3626.3462,1750.0,1281.095,0.000,4093.597,0.000,2,0,0,0,0,0,54.5,0,25.10,27.82,,,,
201,1,LAB01,001,1,,193,48,526178.949,2707,2707,2707,0,03/21/2024 12:08:27,03/15/2024 10:00:00,3651.8081,1750.0,1315.719,0.000,4220.038,0.000,2,0,0,0,0,0,54.5,0,25.09,27.84,,,,
201,1,LAB01,001,1,,193,48,526250.176,2778,2778,2778,0,03/21/2024 12:09:38,03/15/2024 10:00:00,3676.7503,1750.0,1350.343,0.000,4347.343,0.000,2,0,0,0,0,0,54.5,0,24.92,27.53,,,,
201,1,LAB01,001,1,,193,48,526321.403,2849,2849,2849,0,03/21/2024 12:10:50,03/15/2024 10:00:00,3699.1738,1750.0,1384.967,0.000,4475.423,0.000,2,0,0,0,0,0,54.5,0,25.04,27.53,,,,
201,1,LAB01,001,1,,193,48,526392.630,2920,2920,2920,0,03/21/2024 12:12:01,03/15/2024 10:00:00,3724.7803,1750.0,1419.591,0.000,4604.391,0.000,30,0,0,0,0,0,54.5,0,25.20,28.06,,,,
201,1,LAB01,001,1,,193,48,526463.857,2992,2992,2992,0,03/21/2024 12:13:12,03/15/2024 10:00:00,3747.8250,1750.0,1454.215,0.000,4734.156,0.000,2,0,0,0,0,0,54.5,0,25.10,27.50,,,,
201,1,LAB01,001,1,,193,48,526535.084,3063,3063,3063,0,03/21/2024 12:14:23,03/15/2024 10:00:00,3773.0984,1750.0,1488.840,0.000,4864.797,0.000,2,0,0,0,0,0,54.5,0,24.96,27.61,,,,
201,1,LAB01,001,1,,193,48,526606.311,3134,3134,3134,0,03/21/2024 12:15:35,03/15/2024 10:00:00,3799.1329,1750.0,1523.464,0.000,4996.339,0.000,2,0,0,0,0,0,54.5,0,25.14,27.77,,,,
201,1,LAB01,001,1,,193,48,526677.538,3205,3205,3205,0,03/21/2024 12:16:46,03/15/2024 10:00:00,3823.2936,1750.0,1558.088,0.000,5128.717,0.000,2,0,0,0,0,0,54.5,0,25.06,27.45,,,,
201,1,LAB01,001,1,,193,48,526748.764,3276,3276,3276,0,03/21/2024 12:17:57,03/15/2024 10:00:00,3846.8504,1750.0,1592.712,0.000,5261.911,0.000,2,0,0,0,0,0,54.5,0,25.18,27.24,,,,
201,1,LAB01,001,1,,193,48,526819.991,3348,3348,3348,0,03/21/2024 12:19:08,03/15/2024 10:00:00,3873.5155,1750.0,1627.336,0.000,5396.028,0.000,2,0,0,0,0,0,54.5,0,25.10,27.44,,,,
